"name","movie_duration","movie_year","genres","countries"
"Иезавель",104,1938,"[драма, мелодрама]","[США]"
"47 ронинов",204,1962,"[боевик, драма, история]","[Япония]"
"Живем один раз",86,1937,"[фильм-нуар, драма, криминал]","[США]"
"Колдун 2",113,2003,"[фэнтези, боевик]","[Япония]"
"Ильза, тигрица из Сибири",85,1977,"[ужасы]","[Канада]"
"Никаких проблем!",105,1975,"[комедия]","[Франция]"
"Золото Маккенны",128,1969,"[мелодрама, вестерн, приключения]","[США]"
"Блеф Кугана",93,1968,"[боевик, триллер]","[США]"
"Сова появляется днем",112,1967,"[триллер, драма, криминал, детектив]","[Италия, Франция]"
"Пиноккио 964",97,1991,"[ужасы, фантастика]","[Япония]"
"Исход",208,1960,"[боевик, драма, военный, история]","[США]"
"Братья Карамазовы",145,1958,"[драма, мелодрама]","[США]"
"Три лица Евы",91,1957,"[драма, детектив]","[США]"
"Человек в сером фланелевом костюме",153,1956,"[драма, военный]","[США]"
"Левая рука Бога",87,1955,"[драма]","[США]"
"Весь город говорит",118,1942,"[триллер, драма, мелодрама, комедия]","[США]"
"Воровское шоссе",94,1949,"[фильм-нуар, триллер, драма]","[США]"
"Бумеранг!",88,1947,"[фильм-нуар, драма, криминал]","[США]"
"Крик совы",91,2006,"[комедия, приключения, семейный]","[США]"
"Военная игра",48,1965,"[фантастика, драма, военный]","[Великобритания]"
"Гонщик",85,1928,"[боевик, комедия, семейный]","[США]"
"Анна и король Сиама",128,1946,"[драма, мелодрама, биография]","[США]"
"Подозрение",99,1941,"[триллер, детектив]","[США]"
"Четыре ночи мечтателя",87,1971,"[драма, мелодрама]","[Франция, Италия]"
"Разденься для убийцы",98,1975,"[триллер, детектив]","[Италия]"
"Грошовая серенада",119,1941,"[драма, мелодрама]","[США]"
"Рождественские каникулы",97,1989,"[комедия, семейный]","[США]"
"Тора! Тора! Тора!",144,1970,"[военный, история, боевик, драма]","[Япония, США]"
"Ремагенский мост",112,1969,"[боевик, драма, военный]","[США]"
"Шесть шведок с бензоколонки",75,1980,"[фэнтези, комедия]","[Швейцария]"
"Сломанное копье",96,1954,"[вестерн]","[США]"
"Моя любимая жена",88,1940,"[мелодрама, комедия]","[США]"
"Дни вина и роз",112,1962,"[драма]","[США]"
"Чужой среди нас",110,1992,"[драма, мелодрама, криминал]","[США]"
"На холостом ходу",116,1988,"[драма, мелодрама, криминал, музыка]","[США]"
"На следующее утро",103,1986,"[триллер, мелодрама, криминал, детектив]","[США]"
"Смертельная ловушка",116,1982,"[триллер, комедия, криминал, детектив]","[США]"
"Эквус",137,1977,"[драма, детектив]","[США, Великобритания]"
"Зорро",125,1975,"[боевик, комедия, приключения, вестерн]","[Италия, Франция]"
"Только у ангелов есть крылья",121,1939,"[драма, приключения]","[США]"
"Оскорбление",113,1973,"[драма, криминал, триллер]","[Великобритания, США]"
"Детская игра",100,1972,"[ужасы, триллер, драма, детектив]","[США]"
"Свидание",115,1969,"[драма]","[США]"
"Дело самоубийцы",107,1966,"[триллер, драма, мелодрама, криминал, детектив]","[Великобритания]"
"Холм",123,1965,"[драма, военный]","[Великобритания]"
"Ганга Дин",117,1939,"[приключения, военный]","[США]"
"Ростовщик",116,1964,"[драма]","[США]"
"Такая женщина",92,1959,"[драма, мелодрама, комедия, военный]","[США]"
"Моргиана",106,1972,"[ужасы, драма]","[Чехословакия]"
"Золотая молодежь",106,2003,"[драма, комедия, военный]","[Великобритания]"
"Последний занавес",85,2002,"[драма]","[Великобритания, США]"
"Полный беспредел",106,2002,"[драма, комедия]","[Канада, Великобритания]"
"Фантомы",96,1998,"[ужасы, фантастика, триллер]","[США, Япония]"
"Король Ральф",97,1991,"[мелодрама, комедия]","[США]"
"Молот ведьм",103,1969,"[драма, история]","[Чехословакия]"
"Крылья славы",116,1990,"[фэнтези, драма, комедия]","[Нидерланды]"
"В лунную ночь",109,1989,"[драма]","[Италия, Франция]"
"Чистыми руками",95,1972,"[боевик, триллер, криминал]","[Румыния, Германия (ФРГ)]"
"Супергёрл",120,1984,"[фантастика, фэнтези, боевик, приключения]","[Великобритания, США]"
"Праздник",95,1938,"[мелодрама, комедия]","[США]"
"Мой лучший год",92,1982,"[комедия]","[США]"
"Калигула",156,1979,"[для взрослых, драма, история]","[Италия, США]"
"Рассвет зулусов",113,1979,"[драма, приключения, военный, история]","[США, ЮАР, Нидерланды, Великобритания]"
"Комиссар полиции обвиняет",114,1973,"[боевик, триллер, драма, криминал]","[Румыния]"
"Правящий класс",154,1972,"[драма, комедия, музыка]","[Великобритания]"
"Человек из Ла Манчи",132,1972,"[мюзикл, фэнтези, драма, мелодрама]","[Италия, США]"
"Ужасная правда",91,1937,"[мелодрама, комедия]","[США]"
"Война Мерфи",107,1970,"[драма, военный]","[Великобритания]"
"Ночь генералов",148,1966,"[триллер, драма, криминал, детектив, военный]","[Великобритания, Франция]"
"Как украсть миллион",123,1966,"[мелодрама, комедия, криминал]","[США]"
"Кулик",117,1965,"[драма]","[США]"
"Что нового, кошечка?",108,1965,"[комедия]","[Франция, США]"
"В старые добрые времена",93,1980,"[комедия]","[Чехословакия]"
"Поймет лишь одинокий",104,1991,"[мелодрама, комедия]","[США]"
"Месть",124,1989,"[боевик, триллер, драма, мелодрама, криминал]","[США, Мексика]"
"Топпер",97,1937,"[фэнтези, мелодрама, комедия]","[США]"
"16 кварталов",105,2006,"[боевик, триллер, драма, криминал]","[Германия, США]"
"Долина пчел",97,1967,"[драма, история]","[Чехословакия]"
"Лев пустыни",173,1981,"[драма, военный, биография, история]","[Ливия, США]"
"Послание",177,1976,"[драма, приключения, биография, история]","[Ливан, Ливия, Кувейт, Марокко, Великобритания]"
"Блеф",110,1976,"[комедия, криминал]","[Италия]"
"Марсельский контракт",89,1974,"[боевик, триллер, драма, криминал]","[Великобритания, Франция]"
"На той стороне 110-й улицы",102,1972,"[боевик, триллер, драма, криминал]","[США]"
"Материнская любовь",150,1966,"[мюзикл, мелодрама, семейный]","[Индия]"
"Тайна Санта-Виттории",139,1969,"[драма, комедия, военный]","[США]"
"Удивительные приключения",61,1936,"[драма, мелодрама, комедия]","[Великобритания]"
"Маг",117,1968,"[фэнтези, драма, детектив]","[Великобритания]"
"Пропавший отряд",128,1966,"[драма, военный]","[США]"
"Грек Зорба",142,1964,"[драма, приключения]","[Греция, США]"
"Разбойник Варавва",144,1961,"[драма, приключения, биография, история]","[Италия, США]"
"Последний поезд из Ган Хилл",95,1959,"[мелодрама, вестерн]","[США]"
"Я – группи",89,1970,"[драма, музыка]","[Германия (ФРГ), Швейцария]"
"А ну-ка, девочка, разденься!",85,1973,"[комедия]","[Германия (ФРГ)]"
"Собор Парижской Богоматери",105,1956,"[драма, история, ужасы]","[Франция, Италия]"
"Жажда жизни",122,1956,"[драма, биография]","[США]"
"Линкольн",150,2012,"[драма, военный, биография, история]","[США, Индия]"
"Пираты Карибского моря: На краю Света",169,2007,"[фэнтези, боевик, приключения]","[США]"
"Вавилон",143,2006,"[драма]","[Франция, США, Мексика]"
"Как трусливый Роберт Форд убил Джесси Джеймса",160,2007,"[драма, криминал, вестерн, биография, история]","[США, Канада, Великобритания]"
