"name","post"
"Иезавель","16 декабря в мировой прокат вышло долгожданное продолжение «Аватара» Джеймса Кэмерона — «Путь воды». Кинокритик «Газеты.Ru» Елена Зархина посмотрела фильм и рассказывает, почему Кэмерон все еще один из лучших визуалистов в современном кино, но создать ожидаемое чудо во второй раз ему, увы, не удалось.
Действие нового фильма разворачивается спустя почти 15 лет с момента событий первого. Отстоявший Пандору бывший морпех Джейк Салли (Сэм Уортингтон) теперь предводитель народа На'ви. Рядом с ним не только любимая жена Нейтири (Зои Салдана), но и четверо отпрысков: трое родных, а также приемная девочка Кири, рожденная героиней Сигурни Уивер (озвучивает свою экранную дочь во втором фильме тоже Уивер).

Внезапно спокойная жизнь На'ви оказывается под угрозой. Земные бизнесмены-капиталисты (в картине их красиво называют «небесными людьми») снова готовят нападение на Пандору. Но на этот раз не столько ради местных удивительных благ, сколько просто из желания превратить ее в свою колонию.

Возглавляет группу полковник Майлз Куоритч (Стивен Лэнг). Он умер от стрел Нейтири еще в первой части, но Кэмерон нашел незамысловатый способ «возродить» любимого злодея — оказывается, еще при жизни его сознание выгрузили на специальный диск, который после смерти вживили аватару. Спасаясь от преследования полковника и его банды головорезов, все семейство Салли отправляется на архипелаг тысячи островов, где обитает клан Меткайина (жену вождя играет неузнаваемая Кейт Уинслет), который готов вопреки внутренним спорам приютить незваных гостей и объединить усилия в противостоянии с армией Куоритча."
"47 ронинов","17 декабря в мировой прокат вышло долгожданное продолжение «Аватара» Джеймса Кэмерона — «Путь воды». Кинокритик «Газеты.Ru» Елена Зархина посмотрела фильм и рассказывает, почему Кэмерон все еще один из лучших визуалистов в современном кино, но создать ожидаемое чудо во второй раз ему, увы, не удалось.
Действие нового фильма разворачивается спустя почти 15 лет с момента событий первого. Отстоявший Пандору бывший морпех Джейк Салли (Сэм Уортингтон) теперь предводитель народа На'ви. Рядом с ним не только любимая жена Нейтири (Зои Салдана), но и четверо отпрысков: трое родных, а также приемная девочка Кири, рожденная героиней Сигурни Уивер (озвучивает свою экранную дочь во втором фильме тоже Уивер).

Внезапно спокойная жизнь На'ви оказывается под угрозой. Земные бизнесмены-капиталисты (в картине их красиво называют «небесными людьми») снова готовят нападение на Пандору. Но на этот раз не столько ради местных удивительных благ, сколько просто из желания превратить ее в свою колонию.

Возглавляет группу полковник Майлз Куоритч (Стивен Лэнг). Он умер от стрел Нейтири еще в первой части, но Кэмерон нашел незамысловатый способ «возродить» любимого злодея — оказывается, еще при жизни его сознание выгрузили на специальный диск, который после смерти вживили аватару. Спасаясь от преследования полковника и его банды головорезов, все семейство Салли отправляется на архипелаг тысячи островов, где обитает клан Меткайина (жену вождя играет неузнаваемая Кейт Уинслет), который готов вопреки внутренним спорам приютить незваных гостей и объединить усилия в противостоянии с армией Куоритча."
"Живем один раз","18 декабря в мировой прокат вышло долгожданное продолжение «Аватара» Джеймса Кэмерона — «Путь воды». Кинокритик «Газеты.Ru» Елена Зархина посмотрела фильм и рассказывает, почему Кэмерон все еще один из лучших визуалистов в современном кино, но создать ожидаемое чудо во второй раз ему, увы, не удалось.
Действие нового фильма разворачивается спустя почти 15 лет с момента событий первого. Отстоявший Пандору бывший морпех Джейк Салли (Сэм Уортингтон) теперь предводитель народа На'ви. Рядом с ним не только любимая жена Нейтири (Зои Салдана), но и четверо отпрысков: трое родных, а также приемная девочка Кири, рожденная героиней Сигурни Уивер (озвучивает свою экранную дочь во втором фильме тоже Уивер).

Внезапно спокойная жизнь На'ви оказывается под угрозой. Земные бизнесмены-капиталисты (в картине их красиво называют «небесными людьми») снова готовят нападение на Пандору. Но на этот раз не столько ради местных удивительных благ, сколько просто из желания превратить ее в свою колонию.

Возглавляет группу полковник Майлз Куоритч (Стивен Лэнг). Он умер от стрел Нейтири еще в первой части, но Кэмерон нашел незамысловатый способ «возродить» любимого злодея — оказывается, еще при жизни его сознание выгрузили на специальный диск, который после смерти вживили аватару. Спасаясь от преследования полковника и его банды головорезов, все семейство Салли отправляется на архипелаг тысячи островов, где обитает клан Меткайина (жену вождя играет неузнаваемая Кейт Уинслет), который готов вопреки внутренним спорам приютить незваных гостей и объединить усилия в противостоянии с армией Куоритча."
"Колдун 2","19 декабря в мировой прокат вышло долгожданное продолжение «Аватара» Джеймса Кэмерона — «Путь воды». Кинокритик «Газеты.Ru» Елена Зархина посмотрела фильм и рассказывает, почему Кэмерон все еще один из лучших визуалистов в современном кино, но создать ожидаемое чудо во второй раз ему, увы, не удалось.
Действие нового фильма разворачивается спустя почти 15 лет с момента событий первого. Отстоявший Пандору бывший морпех Джейк Салли (Сэм Уортингтон) теперь предводитель народа На'ви. Рядом с ним не только любимая жена Нейтири (Зои Салдана), но и четверо отпрысков: трое родных, а также приемная девочка Кири, рожденная героиней Сигурни Уивер (озвучивает свою экранную дочь во втором фильме тоже Уивер).

Внезапно спокойная жизнь На'ви оказывается под угрозой. Земные бизнесмены-капиталисты (в картине их красиво называют «небесными людьми») снова готовят нападение на Пандору. Но на этот раз не столько ради местных удивительных благ, сколько просто из желания превратить ее в свою колонию.

Возглавляет группу полковник Майлз Куоритч (Стивен Лэнг). Он умер от стрел Нейтири еще в первой части, но Кэмерон нашел незамысловатый способ «возродить» любимого злодея — оказывается, еще при жизни его сознание выгрузили на специальный диск, который после смерти вживили аватару. Спасаясь от преследования полковника и его банды головорезов, все семейство Салли отправляется на архипелаг тысячи островов, где обитает клан Меткайина (жену вождя играет неузнаваемая Кейт Уинслет), который готов вопреки внутренним спорам приютить незваных гостей и объединить усилия в противостоянии с армией Куоритча."
"Ильза, тигрица из Сибири","20 декабря в мировой прокат вышло долгожданное продолжение «Аватара» Джеймса Кэмерона — «Путь воды». Кинокритик «Газеты.Ru» Елена Зархина посмотрела фильм и рассказывает, почему Кэмерон все еще один из лучших визуалистов в современном кино, но создать ожидаемое чудо во второй раз ему, увы, не удалось.
Действие нового фильма разворачивается спустя почти 15 лет с момента событий первого. Отстоявший Пандору бывший морпех Джейк Салли (Сэм Уортингтон) теперь предводитель народа На'ви. Рядом с ним не только любимая жена Нейтири (Зои Салдана), но и четверо отпрысков: трое родных, а также приемная девочка Кири, рожденная героиней Сигурни Уивер (озвучивает свою экранную дочь во втором фильме тоже Уивер).

Внезапно спокойная жизнь На'ви оказывается под угрозой. Земные бизнесмены-капиталисты (в картине их красиво называют «небесными людьми») снова готовят нападение на Пандору. Но на этот раз не столько ради местных удивительных благ, сколько просто из желания превратить ее в свою колонию.

Возглавляет группу полковник Майлз Куоритч (Стивен Лэнг). Он умер от стрел Нейтири еще в первой части, но Кэмерон нашел незамысловатый способ «возродить» любимого злодея — оказывается, еще при жизни его сознание выгрузили на специальный диск, который после смерти вживили аватару. Спасаясь от преследования полковника и его банды головорезов, все семейство Салли отправляется на архипелаг тысячи островов, где обитает клан Меткайина (жену вождя играет неузнаваемая Кейт Уинслет), который готов вопреки внутренним спорам приютить незваных гостей и объединить усилия в противостоянии с армией Куоритча."
"Никаких проблем!","21 декабря в мировой прокат вышло долгожданное продолжение «Аватара» Джеймса Кэмерона — «Путь воды». Кинокритик «Газеты.Ru» Елена Зархина посмотрела фильм и рассказывает, почему Кэмерон все еще один из лучших визуалистов в современном кино, но создать ожидаемое чудо во второй раз ему, увы, не удалось.
Действие нового фильма разворачивается спустя почти 15 лет с момента событий первого. Отстоявший Пандору бывший морпех Джейк Салли (Сэм Уортингтон) теперь предводитель народа На'ви. Рядом с ним не только любимая жена Нейтири (Зои Салдана), но и четверо отпрысков: трое родных, а также приемная девочка Кири, рожденная героиней Сигурни Уивер (озвучивает свою экранную дочь во втором фильме тоже Уивер).

Внезапно спокойная жизнь На'ви оказывается под угрозой. Земные бизнесмены-капиталисты (в картине их красиво называют «небесными людьми») снова готовят нападение на Пандору. Но на этот раз не столько ради местных удивительных благ, сколько просто из желания превратить ее в свою колонию.

Возглавляет группу полковник Майлз Куоритч (Стивен Лэнг). Он умер от стрел Нейтири еще в первой части, но Кэмерон нашел незамысловатый способ «возродить» любимого злодея — оказывается, еще при жизни его сознание выгрузили на специальный диск, который после смерти вживили аватару. Спасаясь от преследования полковника и его банды головорезов, все семейство Салли отправляется на архипелаг тысячи островов, где обитает клан Меткайина (жену вождя играет неузнаваемая Кейт Уинслет), который готов вопреки внутренним спорам приютить незваных гостей и объединить усилия в противостоянии с армией Куоритча."
"Золото Маккенны","22 декабря в мировой прокат вышло долгожданное продолжение «Аватара» Джеймса Кэмерона — «Путь воды». Кинокритик «Газеты.Ru» Елена Зархина посмотрела фильм и рассказывает, почему Кэмерон все еще один из лучших визуалистов в современном кино, но создать ожидаемое чудо во второй раз ему, увы, не удалось.
Действие нового фильма разворачивается спустя почти 15 лет с момента событий первого. Отстоявший Пандору бывший морпех Джейк Салли (Сэм Уортингтон) теперь предводитель народа На'ви. Рядом с ним не только любимая жена Нейтири (Зои Салдана), но и четверо отпрысков: трое родных, а также приемная девочка Кири, рожденная героиней Сигурни Уивер (озвучивает свою экранную дочь во втором фильме тоже Уивер).

Внезапно спокойная жизнь На'ви оказывается под угрозой. Земные бизнесмены-капиталисты (в картине их красиво называют «небесными людьми») снова готовят нападение на Пандору. Но на этот раз не столько ради местных удивительных благ, сколько просто из желания превратить ее в свою колонию.

Возглавляет группу полковник Майлз Куоритч (Стивен Лэнг). Он умер от стрел Нейтири еще в первой части, но Кэмерон нашел незамысловатый способ «возродить» любимого злодея — оказывается, еще при жизни его сознание выгрузили на специальный диск, который после смерти вживили аватару. Спасаясь от преследования полковника и его банды головорезов, все семейство Салли отправляется на архипелаг тысячи островов, где обитает клан Меткайина (жену вождя играет неузнаваемая Кейт Уинслет), который готов вопреки внутренним спорам приютить незваных гостей и объединить усилия в противостоянии с армией Куоритча."
"Блеф Кугана","23 декабря в мировой прокат вышло долгожданное продолжение «Аватара» Джеймса Кэмерона — «Путь воды». Кинокритик «Газеты.Ru» Елена Зархина посмотрела фильм и рассказывает, почему Кэмерон все еще один из лучших визуалистов в современном кино, но создать ожидаемое чудо во второй раз ему, увы, не удалось.
Действие нового фильма разворачивается спустя почти 15 лет с момента событий первого. Отстоявший Пандору бывший морпех Джейк Салли (Сэм Уортингтон) теперь предводитель народа На'ви. Рядом с ним не только любимая жена Нейтири (Зои Салдана), но и четверо отпрысков: трое родных, а также приемная девочка Кири, рожденная героиней Сигурни Уивер (озвучивает свою экранную дочь во втором фильме тоже Уивер).

Внезапно спокойная жизнь На'ви оказывается под угрозой. Земные бизнесмены-капиталисты (в картине их красиво называют «небесными людьми») снова готовят нападение на Пандору. Но на этот раз не столько ради местных удивительных благ, сколько просто из желания превратить ее в свою колонию.

Возглавляет группу полковник Майлз Куоритч (Стивен Лэнг). Он умер от стрел Нейтири еще в первой части, но Кэмерон нашел незамысловатый способ «возродить» любимого злодея — оказывается, еще при жизни его сознание выгрузили на специальный диск, который после смерти вживили аватару. Спасаясь от преследования полковника и его банды головорезов, все семейство Салли отправляется на архипелаг тысячи островов, где обитает клан Меткайина (жену вождя играет неузнаваемая Кейт Уинслет), который готов вопреки внутренним спорам приютить незваных гостей и объединить усилия в противостоянии с армией Куоритча."
"Сова появляется днем","24 декабря в мировой прокат вышло долгожданное продолжение «Аватара» Джеймса Кэмерона — «Путь воды». Кинокритик «Газеты.Ru» Елена Зархина посмотрела фильм и рассказывает, почему Кэмерон все еще один из лучших визуалистов в современном кино, но создать ожидаемое чудо во второй раз ему, увы, не удалось.
Действие нового фильма разворачивается спустя почти 15 лет с момента событий первого. Отстоявший Пандору бывший морпех Джейк Салли (Сэм Уортингтон) теперь предводитель народа На'ви. Рядом с ним не только любимая жена Нейтири (Зои Салдана), но и четверо отпрысков: трое родных, а также приемная девочка Кири, рожденная героиней Сигурни Уивер (озвучивает свою экранную дочь во втором фильме тоже Уивер).

Внезапно спокойная жизнь На'ви оказывается под угрозой. Земные бизнесмены-капиталисты (в картине их красиво называют «небесными людьми») снова готовят нападение на Пандору. Но на этот раз не столько ради местных удивительных благ, сколько просто из желания превратить ее в свою колонию.

Возглавляет группу полковник Майлз Куоритч (Стивен Лэнг). Он умер от стрел Нейтири еще в первой части, но Кэмерон нашел незамысловатый способ «возродить» любимого злодея — оказывается, еще при жизни его сознание выгрузили на специальный диск, который после смерти вживили аватару. Спасаясь от преследования полковника и его банды головорезов, все семейство Салли отправляется на архипелаг тысячи островов, где обитает клан Меткайина (жену вождя играет неузнаваемая Кейт Уинслет), который готов вопреки внутренним спорам приютить незваных гостей и объединить усилия в противостоянии с армией Куоритча."
"Пиноккио 964","25 декабря в мировой прокат вышло долгожданное продолжение «Аватара» Джеймса Кэмерона — «Путь воды». Кинокритик «Газеты.Ru» Елена Зархина посмотрела фильм и рассказывает, почему Кэмерон все еще один из лучших визуалистов в современном кино, но создать ожидаемое чудо во второй раз ему, увы, не удалось.
Действие нового фильма разворачивается спустя почти 15 лет с момента событий первого. Отстоявший Пандору бывший морпех Джейк Салли (Сэм Уортингтон) теперь предводитель народа На'ви. Рядом с ним не только любимая жена Нейтири (Зои Салдана), но и четверо отпрысков: трое родных, а также приемная девочка Кири, рожденная героиней Сигурни Уивер (озвучивает свою экранную дочь во втором фильме тоже Уивер).

Внезапно спокойная жизнь На'ви оказывается под угрозой. Земные бизнесмены-капиталисты (в картине их красиво называют «небесными людьми») снова готовят нападение на Пандору. Но на этот раз не столько ради местных удивительных благ, сколько просто из желания превратить ее в свою колонию.

Возглавляет группу полковник Майлз Куоритч (Стивен Лэнг). Он умер от стрел Нейтири еще в первой части, но Кэмерон нашел незамысловатый способ «возродить» любимого злодея — оказывается, еще при жизни его сознание выгрузили на специальный диск, который после смерти вживили аватару. Спасаясь от преследования полковника и его банды головорезов, все семейство Салли отправляется на архипелаг тысячи островов, где обитает клан Меткайина (жену вождя играет неузнаваемая Кейт Уинслет), который готов вопреки внутренним спорам приютить незваных гостей и объединить усилия в противостоянии с армией Куоритча."
